,date,HOUR_BIN,trip_count
0,2019-12-01,0,669
1,2019-12-01,4,1070
2,2019-12-01,8,4704
3,2019-12-01,12,1908
4,2019-12-01,16,1306
5,2019-12-01,20,778
6,2019-12-02,0,228
7,2019-12-02,4,4873
8,2019-12-02,8,4440
9,2019-12-02,12,2349
10,2019-12-02,16,4963
11,2019-12-02,20,1074
12,2019-12-03,0,186
13,2019-12-03,4,6849
14,2019-12-03,8,8146
15,2019-12-03,12,7880
16,2019-12-03,16,13148
17,2019-12-03,20,2948
18,2019-12-04,0,358
19,2019-12-04,4,9333
20,2019-12-04,8,10216
21,2019-12-04,12,9178
22,2019-12-04,16,14862
23,2019-12-04,20,3207
24,2019-12-05,0,452
25,2019-12-05,4,10010
26,2019-12-05,8,10854
27,2019-12-05,12,9526
28,2019-12-05,16,14471
29,2019-12-05,20,3474
30,2019-12-06,0,487
31,2019-12-06,4,9294
32,2019-12-06,8,11473
33,2019-12-06,12,11717
34,2019-12-06,16,14917
35,2019-12-06,20,3414
36,2019-12-07,0,941
37,2019-12-07,4,2043
38,2019-12-07,8,9764
39,2019-12-07,12,11589
40,2019-12-07,16,7181
41,2019-12-07,20,2546
42,2019-12-08,0,954
43,2019-12-08,4,1219
44,2019-12-08,8,8581
45,2019-12-08,12,11410
46,2019-12-08,16,7348
47,2019-12-08,20,2321
48,2019-12-09,0,251
49,2019-12-09,4,2206
50,2019-12-09,8,4078
51,2019-12-09,12,3979
52,2019-12-09,16,2859
53,2019-12-09,20,1692
54,2019-12-10,0,367
55,2019-12-10,4,10562
56,2019-12-10,8,10821
57,2019-12-10,12,6603
58,2019-12-10,16,11606
59,2019-12-10,20,2308
60,2019-12-11,0,225
61,2019-12-11,4,4663
62,2019-12-11,8,7359
63,2019-12-11,12,9065
64,2019-12-11,16,13464
65,2019-12-11,20,3216
66,2019-12-12,0,383
67,2019-12-12,4,8528
68,2019-12-12,8,10058
69,2019-12-12,12,9303
70,2019-12-12,16,13348
71,2019-12-12,20,3480
72,2019-12-13,0,544
73,2019-12-13,4,8749
74,2019-12-13,8,11617
75,2019-12-13,12,7477
76,2019-12-13,16,3489
77,2019-12-13,20,688
78,2019-12-14,0,249
79,2019-12-14,4,1134
80,2019-12-14,8,8901
81,2019-12-14,12,9477
82,2019-12-14,16,7346
83,2019-12-14,20,3057
84,2019-12-15,0,1175
85,2019-12-15,4,1375
86,2019-12-15,8,9198
87,2019-12-15,12,11807
88,2019-12-15,16,7401
89,2019-12-15,20,2297
90,2019-12-16,0,360
91,2019-12-16,4,8671
92,2019-12-16,8,9100
93,2019-12-16,12,8740
94,2019-12-16,16,13215
95,2019-12-16,20,1416
96,2019-12-17,0,159
97,2019-12-17,4,2374
98,2019-12-17,8,2625
99,2019-12-17,12,3349
100,2019-12-17,16,8077
101,2019-12-17,20,2612
102,2019-12-18,0,390
103,2019-12-18,4,8484
104,2019-12-18,8,10385
105,2019-12-18,12,8273
106,2019-12-18,16,8408
107,2019-12-18,20,1725
108,2019-12-19,0,248
109,2019-12-19,4,5251
110,2019-12-19,8,6407
111,2019-12-19,12,6466
112,2019-12-19,16,8677
113,2019-12-19,20,2231
114,2019-12-20,0,391
115,2019-12-20,4,5515
116,2019-12-20,8,7990
117,2019-12-20,12,9075
118,2019-12-20,16,8947
119,2019-12-20,20,2052
120,2019-12-21,0,530
121,2019-12-21,4,1194
122,2019-12-21,8,6653
123,2019-12-21,12,8536
124,2019-12-21,16,5153
125,2019-12-21,20,1892
126,2019-12-22,0,629
127,2019-12-22,4,937
128,2019-12-22,8,6061
129,2019-12-22,12,8761
130,2019-12-22,16,5267
131,2019-12-22,20,1749
132,2019-12-23,0,356
133,2019-12-23,4,4485
134,2019-12-23,8,8714
135,2019-12-23,12,11540
136,2019-12-23,16,9799
137,2019-12-23,20,2267
138,2019-12-24,0,481
139,2019-12-24,4,3207
140,2019-12-24,8,7722
141,2019-12-24,12,9318
142,2019-12-24,16,3768
143,2019-12-24,20,1125
144,2019-12-25,0,357
145,2019-12-25,4,586
146,2019-12-25,8,3025
147,2019-12-25,12,5074
148,2019-12-25,16,2655
149,2019-12-25,20,1206
150,2019-12-26,0,246
151,2019-12-26,4,2586
152,2019-12-26,8,5757
153,2019-12-26,12,7816
154,2019-12-26,16,6753
155,2019-12-26,20,1928
156,2019-12-27,0,428
157,2019-12-27,4,3282
158,2019-12-27,8,7824
159,2019-12-27,12,10056
160,2019-12-27,16,7584
161,2019-12-27,20,2374
162,2019-12-28,0,733
163,2019-12-28,4,1270
164,2019-12-28,8,7359
165,2019-12-28,12,10700
166,2019-12-28,16,5975
167,2019-12-28,20,2137
168,2019-12-29,0,774
169,2019-12-29,4,1007
170,2019-12-29,8,6369
171,2019-12-29,12,6954
172,2019-12-29,16,1841
173,2019-12-29,20,636
174,2019-12-30,0,176
175,2019-12-30,4,1513
176,2019-12-30,8,2696
177,2019-12-30,12,2451
178,2019-12-30,16,3739
179,2019-12-30,20,1477
180,2019-12-31,0,390
181,2019-12-31,4,3150
182,2019-12-31,8,8079
183,2019-12-31,12,12011
184,2019-12-31,16,6088
185,2019-12-31,20,1575
